OBJECTID,GID,RR_ABRVN,RR_COMPANY,RR_STATUS,RR_TYP,RR_NBR,GRID_OP,CREATE_DT,CREATE_NM,EDIT_DT,EDIT_NM,SHAPE_Length,WKT
1505,1350,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.016621308053495733,"MULTILINESTRING ((-95.28953473299998 29.773410564000073, -95.29881113 29.759618670000066))"
1506,1351,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.001385677860317716,"MULTILINESTRING ((-95.00890369399997 29.74891225500005, -95.00768530999994 29.748252222000076))"
1507,1352,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0008843732820297849,"MULTILINESTRING ((-95.293591715 29.759894659000054, -95.29370030799998 29.759644710000032, -95.29376068199997 29.759468999000035, -95.29380694699995 29.759275239000033, -95.29383846999997 29.759050587000047))"
1508,1353,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.009994658042783834,"MULTILINESTRING ((-95.29236352399994 29.768933894000043, -95.29377976899997 29.759746333000066, -95.29382037599999 29.75939918200004, -95.29383846999997 29.759050587000047))"
1509,1354,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00013632235213269591,"MULTILINESTRING ((-95.29383846999997 29.759050587000047, -95.29383942599998 29.75891426800007))"
1510,1355,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.009806962715658228,"MULTILINESTRING ((-95.29257121999996 29.76862075500003, -95.29383034299997 29.76045715600003, -95.29386917699998 29.760065472000065, -95.29388373699999 29.75967253700003, -95.29387296399995 29.759261948000074, -95.29383942599998 29.75891426800007))"
1511,1356,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,5.727568841245906e-05,"MULTILINESTRING ((-95.29383942599998 29.75891426800007, -95.29383877599997 29.758856996000077))"
1512,1357,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.009545899961593501,"MULTILINESTRING ((-95.29278512499997 29.768302986000037, -95.29394276499994 29.760761136000042, -95.29397637399995 29.760282991000054, -95.29397835499998 29.760043430000053, -95.29397020599998 29.759799749000024, -95.29395180999995 29.759556532000033, -95.29392323299999 29.759314033000067, -95.29388143399996 29.75905602200004, -95.29383877599997 29.758856996000077))"
1513,1358,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0070281290925365185,"MULTILINESTRING ((-95.00225229799997 29.747515991000057, -95.004986536 29.748968168000033, -95.00517116199995 29.74900703000003, -95.00798166799996 29.74883053800005, -95.00820751299995 29.74883100900007, -95.00843907799998 29.748844810000037, -95.00865672999998 29.748870166000074, -95.00890369399997 29.74891225500005))"
1514,1359,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.002498723535164967,"MULTILINESTRING ((-95.35459591599994 29.760702588000072, -95.35476585399994 29.760868280000068, -95.35500139699997 29.761154710000028, -95.35509825599996 29.761246894000067, -95.35519904199998 29.761327952000045, -95.35532238499997 29.761410953000052, -95.35658738999996 29.762176890000035))"
1515,1360,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0035770666340486927,"MULTILINESTRING ((-95.35459591599994 29.760702588000072, -95.35766361499998 29.762542324000037))"
1521,1668,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0003204540487205179,"MULTILINESTRING ((-94.11124228899996 30.074892732000023, -94.11110325299995 30.07464575800003, -94.11108508699994 30.074613486000032))"
1522,1669,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.005711157223942915,"MULTILINESTRING ((-94.11136793799994 30.074512163000065, -94.11143340299998 30.07431383100004, -94.11146013899997 30.074214966000056, -94.11147657199996 30.074114434000023, -94.11148252199996 30.074013028000024, -94.11147822699996 30.07391421400007, -94.11105873099996 30.069450585000027, -94.11098912499995 30.06921518300004, -94.110876911 30.068997654000043, -94.11081470699997 30.068890399000054))"
1523,1670,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00575715076093405,"MULTILINESTRING ((-94.11108508699994 30.074613486000032, -94.11104254799994 30.07446788900006, -94.11102135099998 30.074340086000063, -94.11055078599998 30.06925172800004, -94.11054400499995 30.069082454000068, -94.11055583799998 30.068886373000055))"
1524,1671,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0002932910943727257,"MULTILINESTRING ((-94.11055583799998 30.068886373000055, -94.11065160599998 30.068609158000072))"
1525,1672,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00032511295924844875,"MULTILINESTRING ((-94.11065160599998 30.068609158000072, -94.11081470699997 30.068890399000054))"
1527,1674,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.00024930491669355824,"MULTILINESTRING ((-94.99330783699997 29.73128250900004, -94.993074633 29.73137065000003))"
1528,1675,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0015713322628601732,"MULTILINESTRING ((-95.01822222199996 29.753967514000067, -95.01838846599998 29.754015863000063, -95.01853362299994 29.75404650200005, -95.01868643699999 29.75406618100004, -95.01884584299995 29.754073448000042, -95.01900529799997 29.754067384000052, -95.01915831899998 29.754048837000028, -95.01931365399997 29.75401682000006, -95.01946477299998 29.753971974000024, -95.01960568399994 29.753916753000055, -95.01974449999994 29.75384800200004))"
1539,1686,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0038409300996992144,"MULTILINESTRING ((-95.10535121399994 29.882740057000035, -95.10553278799995 29.88283423400003, -95.10570992099997 29.882909118000043, -95.10589835599995 29.88297116900003, -95.10609249599997 29.883018011000047, -95.10629074799994 29.883049200000073, -95.10649140699996 29.88306450300007, -95.10669744099994 29.88306357400006, -95.10689792899996 29.88304650500004, -95.10717557999999 29.882995537000056, -95.10743922199998 29.882915512000068, -95.108993162 29.882279702000062))"
1540,1687,UP,Union Pacific Railroad Company,Active,Spur Line,66,,,,,,0.0021994733228126837,"MULTILINESTRING ((-95.10399667399997 29.881007168000053, -95.10535121399994 29.882740057000035))"
